"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"C1, C2, C3, C4, C5, C6, C7, C8, C11, C12";"C_0402_1005Metric";10;"0.1uF";;;
2;"C9, C10";"C_0402_1005Metric";2;"1.0uF";;;
3;"C13, C14";"C_0402_1005Metric";2;"10uF_0603_10V";;;
4;"C15, C16";"C_0603_1608Metric";2;"10pF";;;
5;"C17";"C_0402_1005Metric";1;"100nF_0603_16V";;;
6;"J1, J2";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20_Pin";;;
7;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
8;"P1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Plug_USB2.0";;;
9;"R1, R2";"R_0402_1005Metric";2;"27.4";;;
10;"R3, R4";"R_0402_1005Metric";2;"5.1K";;;
11;"R5, R7";"R_0402_1005Metric";2;"1k";;;
12;"R6";"R_0402_1005Metric";1;"10k";;;
13;"SW1";"SW_PUSH_6mm";1;"Push_Button";;;
14;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
15;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
16;"U3";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
17;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"24mhz";;;
